😀	emj_grinning_face
⛲	emj_fountain
⛺	emj_tent
🌁	emj_foggy
🌃	emj_night_with_stars
🏙	emj_cityscape
🌄	emj_sunrise_over_mountains
🌅	emj_sunrise
🌆	emj_cityscape_at_dusk
🌇	emj_sunset
🌉	emj_bridge_at_night
♨	emj_hot_springs
🎠	emj_carousel_horse
🎡	emj_ferris_wheel
🎢	emj_roller_coaster
💈	emj_barber_pole
🎪	emj_circus_tent
🚂	emj_locomotive
🚃	emj_railway_car
🚄	emj_high_speed_train
🚅	emj_bullet_train
🚆	emj_train
🚇	emj_metro
🚈	emj_light_rail
🚉	emj_station
🚊	emj_tram
🚝	emj_monorail
🚞	emj_mountain_railway
🚋	emj_tram_car
🚌	emj_bus
🚍	emj_oncoming_bus
🚎	emj_trolleybus
🚐	emj_minibus
🚑	emj_ambulance
🚒	emj_fire_engine
🚓	emj_police_car
🚔	emj_oncoming_police_car
🚕	emj_taxi
🚖	emj_oncoming_taxi
🚗	emj_automobile
🚘	emj_oncoming_automobile
🚙	emj_sport_utility_vehicle
🛻	emj_pickup_truck
🚚	emj_delivery_truck
🚛	emj_articulated_lorry
🚜	emj_tractor
🏎	emj_racing_car
🏍	emj_motorcycle
🛵	emj_motor_scooter
🦽	emj_manual_wheelchair
🦼	emj_motorized_wheelchair
🛺	emj_auto_rickshaw
🚲	emj_bicycle
🛴	emj_kick_scooter
🛹	emj_skateboard
🛼	emj_roller_skate
🚏	emj_bus_stop
🛣	emj_motorway
🛤	emj_railway_track
🛢	emj_oil_drum
⛽	emj_fuel_pump
🚨	emj_police_car_light
🚥	emj_horizontal_traffic_light
🚦	emj_vertical_traffic_light
🛑	emj_stop_sign
🚧	emj_construction
⚓	emj_anchor
⛵	emj_sailboat
🛶	emj_canoe
🚤	emj_speedboat
🛳	emj_passenger_ship
⛴	emj_ferry
🛥	emj_motor_boat
🚢	emj_ship
✈	emj_airplane
🛩	emj_small_airplane
🛫	emj_airplane_departure
🛬	emj_airplane_arrival
🪂	emj_parachute
💺	emj_seat
🚁	emj_helicopter
🚟	emj_suspension_railway
🚠	emj_mountain_cableway
🚡	emj_aerial_tramway
🛰	emj_satellite
🚀	emj_rocket
🛸	emj_flying_saucer
🛎	emj_bellhop_bell
🧳	emj_luggage
⌛	emj_hourglass_done
⏳	emj_hourglass_not_done
⌚	emj_watch
⏰	emj_alarm_clock
⏱	emj_stopwatch
⏲	emj_timer_clock
🕰	emj_mantelpiece_clock
🕛	emj_twelve_o_clock
🕧	emj_twelve_thirty
🕐	emj_one_o_clock
🕜	emj_one_thirty
🕑	emj_two_o_clock
🕝	emj_two_thirty
🕒	emj_three_o_clock
🕞	emj_three_thirty
🕓	emj_four_o_clock
🕟	emj_four_thirty
🕔	emj_five_o_clock
🕠	emj_five_thirty
🕕	emj_six_o_clock
🕡	emj_six_thirty
🕖	emj_seven_o_clock
🕢	emj_seven_thirty
🕗	emj_eight_o_clock
🕣	emj_eight_thirty
🕘	emj_nine_o_clock
🕤	emj_nine_thirty
🕙	emj_ten_o_clock
🕥	emj_ten_thirty
🕚	emj_eleven_o_clock
🕦	emj_eleven_thirty
🌑	emj_new_moon
🌒	emj_waxing_crescent_moon
🌓	emj_first_quarter_moon
🌔	emj_waxing_gibbous_moon
🌕	emj_full_moon
🌖	emj_waning_gibbous_moon
🌗	emj_last_quarter_moon
🌘	emj_waning_crescent_moon
🌙	emj_crescent_moon
🌚	emj_new_moon_face
🌛	emj_first_quarter_moon_face
🌜	emj_last_quarter_moon_face
🌡	emj_thermometer
☀	emj_sun
🌝	emj_full_moon_face
🌞	emj_sun_with_face
🪐	emj_ringed_planet
⭐	emj_star
🌟	emj_glowing_star
🌠	emj_shooting_star
🌌	emj_milky_way
☁	emj_cloud
⛅	emj_sun_behind_cloud
⛈	emj_cloud_with_lightning_and_rain
🌤	emj_sun_behind_small_cloud
🌥	emj_sun_behind_large_cloud
🌦	emj_sun_behind_rain_cloud
🌧	emj_cloud_with_rain
🌨	emj_cloud_with_snow
🌩	emj_cloud_with_lightning
🌪	emj_tornado
🌫	emj_fog
🌬	emj_wind_face
🌀	emj_cyclone
🌈	emj_rainbow
